X,Y,FAIRMARKETBUILDING__asmt,PROPERTYZIP__asmt,FAIRMARKETLAND__asmt,SALECODE__asmt,LEGAL1__asmt,PROPERTYFRACTION__asmt,PIN,NEIGHDESC__asmt,LOCALLAND__asmt,PROPERTYADDRESS__asmt,CLASSDESC__asmt,LEGAL2__asmt,COUNTYBUILDING__asmt,PROPERTYHOUSENUM__asmt,PROPERTYUNIT__asmt,FAIRMARKETTOTAL__asmt,LOTAREA__asmt,SALEDATE__asmt,LEGAL3__asmt,PROPERTYCITY__asmt,NEIGHCODE__asmt,LOCALTOTAL__asmt,SALEPRICE__asmt,COUNTYLAND__asmt,PROPERTYSTATE__asmt,LOCALBUILDING__asmt,USEDESC__asmt,COUNTYTOTAL__asmt,MUNIDESC__asmt
-80.0739164941493,40.4501422682572,0,15205,19500,GV,INGRAM PLACE PLAN PT 6 1 A LD WINDGAP RD       , ,0070G00275000000,12802,19500,WINDGAP AVE,RESIDENTIAL,,0,0, ,19500,43560,09-22-2015,,PITTSBURGH,12802,19500,14758,19500,PA,0,VACANT LAND,19500,28th Ward - PITTSBURGH
-79.9250615385068,40.3860019255808,0,15207,19300,H,DOERR TERRACE PLAN 291-300 INCL LOT 573X150X551, ,0091P00210000000,13103,19300,SOUTHVIEW AVE,RESIDENTIAL,.52 RR IN ALL SOUTHVIEW AV,0,0, ,19300,84332,08-02-2007,,PITTSBURGH,13103,19300,39250,19300,PA,0,VACANT LAND,19300,31st Ward - PITTSBURGH
-79.9283327686793,40.3857249076994,0,15207,17700,H,DOERR TERRACE PLAN 233 TO 239 INCL LOT 442.62X1, ,0091P00155000000,13103,17700,HOMERIDGE DR,RESIDENTIAL,65.84X362.34 RR IN ALL HOMERIDGE AVE,0,0, ,17700,66734,08-02-2007,,PITTSBURGH,13103,17700,39250,17700,PA,0,VACANT LAND,17700,31st Ward - PITTSBURGH
-80.005217817789,40.399404746846,0,15210,2000,H,ZIMMERMAN SUBD BAILEY & MOON PLAN 1 LOT 322.31X153.82, ,0061G00300000000,13201,2000,ZIMMERMAN ST,RESIDENTIAL,,0,0, ,2000,49658,12-18-2015,,PITTSBURGH,13201,2000,17000,2000,PA,0,VACANT LAND,2000,32nd Ward - PITTSBURGH
-79.9261993580197,40.4082588067341,0,15207,65400,H,IMPROVEMENT SUBDIVISION SITE PLAN FOR, ,0089K00140000000,11501,65400,JOHNSTON AVE,RESIDENTIAL,NAOMI'S GARDEN PLAN #7 PARCEL = 423.66X,0,0, ,65400,43996,04-24-2009,50.69X309.96 (1.01 ALD) JOHNSTON AVE,PITTSBURGH,11501,65400,2400000,65400,PA,0,VACANT LAND,65400,15th Ward - PITTSBURGH
-80.0135580656611,40.4925521791619,0,15214,32500,H,RICH HILL FARM PLAN 17-18-19 IRREG LOT 650.20X2, ,0163N00158000000,WARD 26 - PERRY NORTH,32500,EVERGREEN RD,RESIDENTIAL,44.77X 504.62 IN ALL RUTLAND ST                ,0,4021, ,32500,141352,10-15-1998,,PITTSBURGH,12602,32500,92500,32500,PA,0,VACANT LAND,32500,26th Ward - PITTSBURGH
-79.9562088141445,40.4559148352081,0,15219,10000,9,5.794 A LD FINLAND ST                          , ,0026L00260000000,10503,10000,FINLAND ST,RESIDENTIAL,,0,0, ,10000,286974,10-27-2008,,PITTSBURGH,10503,10000,1,10000,PA,0,VACANT LAND,10000,5th Ward - PITTSBURGH
-80.0466925237867,40.4559943904494,0,15204,17800,4,TRI LOT 82.59X271.24X258.36 RR GLASGOW ST      , ,0021J00158000000,12003,17800,GLASGOW ST,RESIDENTIAL,,0,0, ,17800,46217,06-06-1979,,PITTSBURGH,12003,17800,400,17800,PA,0,VACANT LAND,17800,20th Ward - PITTSBURGH
-79.9853627086928,40.3813535257599,0,15227,23200,N,1.907 A LD STEWART AV & HORNING ST             , ,0138H00105000000,13203,23200,HORNING ST,RESIDENTIAL,2 STY FRA HSE 246                              ,0,0, ,23200,83069,08-10-1967,,PITTSBURGH,13203,23200,0,23200,PA,0,VACANT LAND,23200,32nd Ward - PITTSBURGH
-80.0342588923101,40.4164302849788,0,15220,34500,3,JOHN BROWN & WM CARNAHAN FARM PLAN PT 26 LOT 16, ,0017M00190000000,12001,34500,BULFORD AVE,RESIDENTIAL,3.76X266 BULFORD AVE                           ,0,0, ,34500,54189,01-19-1976,PT VAC MEDHURST ST LOT 40X266 HILL WAY COR MEDH,PITTSBURGH,12001,34500,1,34500,PA,0,VACANT LAND,34500,20th Ward - PITTSBURGH
-80.035892667725,40.488771318606,0,15212,5300,H,BEN VUE GARDENS 2ND PLAN PARCEL B LOT 87.13X346, ,0114H00188000000,WARD 27,5300,DREXEL RD,RESIDENTIAL,.31X246.54 RR DREXEL RD                        ,0,0, ,5300,57935,05-10-2019,,PITTSBURGH,12701,5300,162000,5300,PA,0,VACANT LAND,5300,27th Ward - PITTSBURGH
-79.9804577326845,40.3952830949817,0,15210,14700,0,1.656 A LD MADELINE ST                         , ,0059N00182000000,12901,14700,MADELINE ST,RESIDENTIAL,,0,0, ,14700,72310,06-20-1988,,PITTSBURGH,12901,14700,15000,14700,PA,0,VACANT LAND,14700,29th Ward - PITTSBURGH
-79.9198781824926,40.371336690493,0,15207,29300,H,KENNEDY PLAN OF LOTS, ,0185H00199000000,13102,29300,MIFFLIN RD,RESIDENTIAL,PT PARCEL A = 174.49X101.64X637.96X47.19X198.76X45.37X223.41,0,0, ,29300,193014,04-10-2014,X172.86X80.57X224.69X66.33X100.65X100.32X99.84X60.14X48.95,PITTSBURGH,13102,29300,10000,29300,PA,0,VACANT LAND,29300,31st Ward - PITTSBURGH
-80.0408258571132,40.4904604800691,0,15212,47200,3,LOT 6.687 A LD BRIGHTON RD TO BRANDON, ,0114B00060000000,WARD 27,47200,BRIGHTON RD,RESIDENTIAL,,0,0, ,47200,291286,10-02-1948,,PITTSBURGH,12701,47200,0,47200,PA,0,VACANT LAND,47200,27th Ward - PITTSBURGH
-80.0460692082312,40.4477557121154,0,15220,27400,5V,3.47 A LD CHARTIERS AVE                        , ,0020J00001000000,12003,27400,CHARTIERS AVE,RESIDENTIAL,,0,0, ,27400,151153,01-16-2001,,PITTSBURGH,12003,27400,20000,27400,PA,0,VACANT LAND,27400,20th Ward - PITTSBURGH
-79.9500920079054,40.4293073607482,0,15213,50300,9,1.32 ACRES S OF W BOUNDARY ST NORTH OF SYLVAN A, ,0029H00300000000,10403,50300,BOUNDARY ST,RESIDENTIAL,V,0,0, ,50300,57499,05-23-2008,,PITTSBURGH,10403,50300,1,50300,PA,0,VACANT LAND,50300,4th Ward - PITTSBURGH
-79.9901014071677,40.4768325329148,0,15212,22600,,IRREG LOT 440XAVG225 SPRING GARDEN RD NR BAUM S, ,0078L00264000000,WARD 26 - NORTHVIEW HEIGHTS,22600,SPRING GARDEN AVE,RESIDENTIAL,T                                              ,0,0, ,22600,98881,05-05-1950,,PITTSBURGH,12603,22600,0,22600,PA,0,VACANT LAND,22600,26th Ward - PITTSBURGH
