,origin,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,0.2838888888888889,0.3308333333333333,0.3572222222222222,0.1413888888888889,0.06861111111111111,0.3636111111111111,0.31472222222222224,0.09555555555555556,0.2702777777777778,0.32416666666666666,0.30694444444444446,0.3377777777777778,0.1963888888888889,0.37972222222222224,0.345,0.32055555555555554,0.08,0.41638888888888886,0.22111111111111112,0.2286111111111111,0.3016666666666667,0.2791666666666667,0.17833333333333334,0.20166666666666666,0.4288888888888889,0.07527777777777778,0.2061111111111111,0.3605555555555556,0.43722222222222223,0.22777777777777777,0.5280555555555555,0.41638888888888886,0.4563888888888889,0.4297222222222222,0.1386111111111111,0.3422222222222222,0.11138888888888888,0.0925,0.21222222222222223,0.31555555555555553,0.36972222222222223,0.09361111111111112,0.09805555555555556,0.5163888888888889,0.32083333333333336,0.04388888888888889,0.20416666666666666,0.3125,0.3477777777777778,0.31472222222222224,0.3086111111111111,0.47888888888888886,0.3527777777777778,0.2538888888888889,0.22777777777777777,0.10027777777777777,0.3258333333333333,0.33305555555555555,0.28694444444444445,0.33916666666666667,0.0925,0.2127777777777778,0.3597222222222222,0.04805555555555555,0.3013888888888889,0.3575,0.2897222222222222,0.24944444444444444,0.33944444444444444,0.1213888888888889,0.4088888888888889,0.18833333333333332,0.23222222222222222,0.24416666666666667,0.4708333333333333,0.21083333333333334,0.08833333333333333,0.20083333333333334,0.2861111111111111,0.2663888888888889,0.11666666666666667,0.29388888888888887,0.3213888888888889,0.2036111111111111,0.2761111111111111,0.3080555555555556,0.32805555555555554,0.5097222222222222,0.22194444444444444,0.21472222222222223,0.4036111111111111,0.45694444444444443,0.3672222222222222,0.25472222222222224,0.30972222222222223,0.38166666666666665,0.31666666666666665,0.3488888888888889,0.18805555555555556,0.2947222222222222
1,1,0.5061111111111111,0.21416666666666667,0.20527777777777778,0.3461111111111111,0.35555555555555557,0.17472222222222222,0.5369444444444444,0.245,0.18194444444444444,0.30583333333333335,0.30916666666666665,0.2063888888888889,0.18694444444444444,0.2947222222222222,0.20694444444444443,0.21694444444444444,0.3591666666666667,0.3313888888888889,0.4411111111111111,0.5116666666666667,0.25166666666666665,0.22916666666666666,0.4102777777777778,0.42388888888888887,0.41055555555555556,0.3527777777777778,0.42833333333333334,0.27555555555555555,0.3625,0.45,0.42944444444444446,0.39805555555555555,0.43805555555555553,0.4216666666666667,0.3011111111111111,0.22305555555555556,0.3408333333333333,0.3138888888888889,0.43444444444444447,0.2972222222222222,0.33305555555555555,0.24305555555555555,0.30833333333333335,0.4313888888888889,0.5430555555555555,0.26916666666666667,0.4872222222222222,0.2275,0.09416666666666666,0.19055555555555556,0.18388888888888888,0.4297222222222222,0.19944444444444445,0.4761111111111111,0.45,0.2797222222222222,0.32722222222222225,0.20166666666666666,0.2861111111111111,0.19972222222222222,0.3547222222222222,0.20333333333333334,0.06055555555555556,0.35083333333333333,0.5236111111111111,0.059722222222222225,0.17027777777777778,0.31722222222222224,0.23416666666666666,0.2708333333333333,0.3630555555555556,0.41055555555555556,0.45444444444444443,0.23472222222222222,0.4216666666666667,0.4330555555555556,0.2797222222222222,0.4230555555555556,0.2011111111111111,0.18305555555555555,0.30833333333333335,0.19027777777777777,0.2427777777777778,0.42583333333333334,0.49833333333333335,0.5302777777777777,0.14555555555555555,0.42444444444444446,0.505,0.43694444444444447,0.10583333333333333,0.4386111111111111,0.25027777777777777,0.47694444444444445,0.1913888888888889,0.13027777777777777,0.18,0.16666666666666666,0.4711111111111111,0.2763888888888889
2,2,0.26416666666666666,0.3080555555555556,0.33444444444444443,0.3913888888888889,0.2763888888888889,0.3408333333333333,0.295,0.2886111111111111,0.2475,0.08527777777777777,0.26944444444444443,0.315,0.23527777777777778,0.36527777777777776,0.3322222222222222,0.3113888888888889,0.3630555555555556,0.30722222222222223,0.19916666666666666,0.3213888888888889,0.2872222222222222,0.26472222222222225,0.1663888888888889,0.18194444444444444,0.26722222222222225,0.35805555555555557,0.18638888888888888,0.36583333333333334,0.2941666666666667,0.20805555555555555,0.3225,0.25472222222222224,0.2947222222222222,0.26805555555555555,0.30083333333333334,0.3194444444444444,0.21388888888888888,0.25472222222222224,0.1925,0.06888888888888889,0.29888888888888887,0.2866666666666667,0.2602777777777778,0.3422222222222222,0.3011111111111111,0.31277777777777777,0.29694444444444446,0.29305555555555557,0.325,0.30194444444444446,0.28583333333333333,0.2911111111111111,0.34,0.23416666666666666,0.20805555555555555,0.3233333333333333,0.09444444444444444,0.31027777777777776,0.2713888888888889,0.3263888888888889,0.31777777777777777,0.25166666666666665,0.3258333333333333,0.2738888888888889,0.2816666666666667,0.3236111111111111,0.2816666666666667,0.1438888888888889,0.32,0.31444444444444447,0.39694444444444443,0.1686111111111111,0.2125,0.28305555555555556,0.2897222222222222,0.19111111111111112,0.3233333333333333,0.1811111111111111,0.26666666666666666,0.2936111111111111,0.2788888888888889,0.30916666666666665,0.30194444444444446,0.18388888888888888,0.2563888888888889,0.28833333333333333,0.31527777777777777,0.3219444444444444,0.31472222222222224,0.195,0.36972222222222223,0.29527777777777775,0.3125,0.235,0.28694444444444445,0.35888888888888887,0.29388888888888887,0.32611111111111113,0.32055555555555554,0.041944444444444444
3,3,0.4175,0.2788888888888889,0.30527777777777776,0.22666666666666666,0.2361111111111111,0.31166666666666665,0.4483333333333333,0.12555555555555556,0.21833333333333332,0.2986111111111111,0.25055555555555553,0.28583333333333333,0.07527777777777778,0.3233333333333333,0.27305555555555555,0.2452777777777778,0.23972222222222223,0.36,0.3525,0.39222222222222225,0.21666666666666667,0.19416666666666665,0.32166666666666666,0.3352777777777778,0.4033333333333333,0.23333333333333334,0.3397222222222222,0.30416666666666664,0.38083333333333336,0.36138888888888887,0.45805555555555555,0.3908333333333333,0.43083333333333335,0.4041666666666667,0.18166666666666667,0.2902777777777778,0.2375,0.19444444444444445,0.3458333333333333,0.29,0.31333333333333335,0.12361111111111112,0.18888888888888888,0.46,0.45444444444444443,0.14972222222222223,0.36777777777777776,0.2561111111111111,0.2925,0.2427777777777778,0.25666666666666665,0.4225,0.2808333333333333,0.3875,0.36138888888888887,0.16027777777777777,0.32,0.2811111111111111,0.23055555555555557,0.26722222222222225,0.23527777777777778,0.09166666666666666,0.2877777777777778,0.2313888888888889,0.435,0.28555555555555556,0.21777777777777776,0.2727777777777778,0.28305555555555556,0.15138888888888888,0.3308333333333333,0.3219444444444444,0.36583333333333334,0.12305555555555556,0.41444444444444445,0.34444444444444444,0.16027777777777777,0.33444444444444443,0.22972222222222222,0.19444444444444445,0.18888888888888888,0.22194444444444444,0.265,0.3372222222222222,0.4097222222222222,0.44166666666666665,0.2561111111111111,0.4533333333333333,0.38555555555555554,0.34833333333333333,0.33166666666666667,0.4313888888888889,0.2833333333333333,0.3883333333333333,0.2577777777777778,0.32861111111111113,0.26472222222222225,0.28888888888888886,0.3516666666666667,0.26916666666666667
4,4,0.3875,0.34055555555555556,0.37416666666666665,0.41888888888888887,0.29305555555555557,0.37333333333333335,0.41944444444444445,0.31777777777777777,0.28,0.13305555555555557,0.19194444444444445,0.3475,0.2602777777777778,0.2761111111111111,0.3572222222222222,0.3363888888888889,0.37972222222222224,0.21805555555555556,0.3225,0.44472222222222224,0.31222222222222223,0.2897222222222222,0.2897222222222222,0.30527777777777776,0.23166666666666666,0.37472222222222223,0.30972222222222223,0.27666666666666667,0.1925,0.3313888888888889,0.23333333333333334,0.25,0.2838888888888889,0.2225,0.3227777777777778,0.36,0.23055555555555557,0.2713888888888889,0.31583333333333335,0.13472222222222222,0.18861111111111112,0.31583333333333335,0.27694444444444444,0.25305555555555553,0.4255555555555556,0.34194444444444444,0.42027777777777775,0.3244444444444444,0.35,0.3269444444444444,0.31833333333333336,0.20194444444444445,0.365,0.3575,0.3313888888888889,0.3525,0.18722222222222223,0.3427777777777778,0.18638888888888888,0.35138888888888886,0.38166666666666665,0.27666666666666667,0.35083333333333333,0.29055555555555557,0.4061111111111111,0.3486111111111111,0.30666666666666664,0.18888888888888888,0.35138888888888886,0.3436111111111111,0.42194444444444446,0.29194444444444445,0.3358333333333333,0.3080555555555556,0.20055555555555554,0.31444444444444447,0.3525,0.30444444444444446,0.2980555555555556,0.3227777777777778,0.29555555555555557,0.33416666666666667,0.3333333333333333,0.30722222222222223,0.37972222222222224,0.4127777777777778,0.3402777777777778,0.23277777777777778,0.43805555555555553,0.31833333333333336,0.3947222222222222,0.2733333333333333,0.3375,0.35833333333333334,0.31194444444444447,0.3838888888888889,0.31527777777777777,0.3511111111111111,0.4438888888888889,0.1363888888888889
5,5,0.5086111111111111,0.37666666666666665,0.33361111111111114,0.4766666666666667,0.4141666666666667,0.4125,0.5405555555555556,0.37555555555555553,0.31916666666666665,0.2175,0.21583333333333332,0.38666666666666666,0.37333333333333335,0.14222222222222222,0.44222222222222224,0.43833333333333335,0.4897222222222222,0.08416666666666667,0.4436111111111111,0.5658333333333333,0.42527777777777775,0.4027777777777778,0.41083333333333333,0.4263888888888889,0.18583333333333332,0.48333333333333334,0.43083333333333335,0.14277777777777778,0.08055555555555556,0.4525,0.135,0.21777777777777776,0.22833333333333333,0.1827777777777778,0.4097222222222222,0.3194444444444444,0.3516666666666667,0.3925,0.43694444444444447,0.22805555555555557,0.16111111111111112,0.3736111111111111,0.39805555555555555,0.12527777777777777,0.5466666666666666,0.3997222222222222,0.5413888888888889,0.2838888888888889,0.39666666666666667,0.41194444444444445,0.3575,0.07027777777777777,0.45,0.4786111111111111,0.4525,0.4102777777777778,0.30833333333333335,0.3819444444444444,0.17805555555555555,0.4363888888888889,0.48527777777777775,0.38972222222222225,0.42944444444444446,0.4116666666666667,0.5272222222222223,0.4272222222222222,0.39166666666666666,0.3388888888888889,0.31083333333333335,0.4013888888888889,0.535,0.41305555555555556,0.45694444444444443,0.4211111111111111,0.06222222222222222,0.43555555555555553,0.4102777777777778,0.4255555555555556,0.2575,0.38055555555555554,0.4091666666666667,0.4116666666666667,0.2927777777777778,0.42833333333333334,0.5008333333333334,0.5338888888888889,0.42527777777777775,0.10111111111111111,0.5591666666666667,0.43944444444444447,0.47333333333333333,0.21777777777777776,0.34,0.47944444444444445,0.34055555555555556,0.4305555555555556,0.3383333333333333,0.3977777777777778,0.565,0.2575
6,6,0.26416666666666666,0.3080555555555556,0.33444444444444443,0.3913888888888889,0.2763888888888889,0.3408333333333333,0.295,0.2886111111111111,0.2475,0.08527777777777777,0.26944444444444443,0.315,0.23527777777777778,0.36527777777777776,0.3322222222222222,0.3113888888888889,0.3630555555555556,0.30722222222222223,0.19916666666666666,0.3213888888888889,0.2872222222222222,0.26472222222222225,0.1663888888888889,0.18194444444444444,0.26722222222222225,0.35805555555555557,0.18638888888888888,0.36583333333333334,0.2941666666666667,0.20805555555555555,0.3225,0.25472222222222224,0.2947222222222222,0.26805555555555555,0.30083333333333334,0.3194444444444444,0.21388888888888888,0.25472222222222224,0.1925,0.06888888888888889,0.29888888888888887,0.2866666666666667,0.2602777777777778,0.3422222222222222,0.3011111111111111,0.31277777777777777,0.29694444444444446,0.29305555555555557,0.325,0.30194444444444446,0.28583333333333333,0.2911111111111111,0.34,0.23416666666666666,0.20805555555555555,0.3233333333333333,0.09444444444444444,0.31027777777777776,0.2713888888888889,0.3263888888888889,0.31777777777777777,0.25166666666666665,0.3258333333333333,0.2738888888888889,0.2816666666666667,0.3236111111111111,0.2816666666666667,0.1438888888888889,0.32,0.31444444444444447,0.39694444444444443,0.1686111111111111,0.2125,0.28305555555555556,0.2897222222222222,0.19111111111111112,0.3233333333333333,0.1811111111111111,0.26666666666666666,0.2936111111111111,0.2788888888888889,0.30916666666666665,0.30194444444444446,0.18388888888888888,0.2563888888888889,0.28833333333333333,0.31527777777777777,0.3219444444444444,0.31472222222222224,0.195,0.36972222222222223,0.29527777777777775,0.3125,0.235,0.28694444444444445,0.35888888888888887,0.29388888888888887,0.32611111111111113,0.32055555555555554,0.041944444444444444
7,7,0.41694444444444445,0.25083333333333335,0.2772222222222222,0.24805555555555556,0.235,0.2836111111111111,0.4477777777777778,0.14694444444444443,0.19027777777777777,0.2722222222222222,0.22694444444444445,0.2577777777777778,0.15055555555555555,0.2997222222222222,0.2594444444444444,0.24,0.2477777777777778,0.3363888888888889,0.35138888888888886,0.4136111111111111,0.22111111111111112,0.1986111111111111,0.3211111111111111,0.3347222222222222,0.37694444444444447,0.24194444444444443,0.3386111111111111,0.28055555555555556,0.3572222222222222,0.36083333333333334,0.43444444444444447,0.36444444444444446,0.40444444444444444,0.37777777777777777,0.15361111111111111,0.26222222222222225,0.23694444444444446,0.1938888888888889,0.3452777777777778,0.26361111111111113,0.2897222222222222,0.145,0.18833333333333332,0.4363888888888889,0.4538888888888889,0.1711111111111111,0.38916666666666666,0.2325,0.2677777777777778,0.22916666666666666,0.2286111111111111,0.3988888888888889,0.26722222222222225,0.3869444444444444,0.36083333333333334,0.18166666666666667,0.2936111111111111,0.25305555555555553,0.20694444444444443,0.2536111111111111,0.25666666666666665,0.16694444444444445,0.2791666666666667,0.2325,0.43444444444444447,0.27694444444444444,0.2088888888888889,0.24916666666666668,0.2594444444444444,0.17277777777777778,0.3283333333333333,0.3213888888888889,0.36527777777777776,0.19833333333333333,0.3908333333333333,0.3438888888888889,0.18166666666666667,0.3338888888888889,0.2061111111111111,0.14027777777777778,0.16944444444444445,0.21333333333333335,0.24138888888888888,0.33611111111111114,0.4091666666666667,0.4411111111111111,0.2425,0.4297222222222222,0.40694444444444444,0.3472222222222222,0.32305555555555554,0.405,0.2833333333333333,0.3877777777777778,0.22972222222222222,0.3016666666666667,0.23666666666666666,0.2688888888888889,0.37305555555555553,0.2427777777777778
8,8,0.42916666666666664,0.26805555555555555,0.20222222222222222,0.34944444444444445,0.3263888888888889,0.295,0.46,0.24833333333333332,0.20166666666666666,0.28694444444444445,0.10555555555555556,0.26916666666666667,0.25583333333333336,0.18555555555555556,0.32472222222222225,0.32083333333333336,0.3625,0.21611111111111111,0.3641666666666667,0.48833333333333334,0.30777777777777776,0.2852777777777778,0.3333333333333333,0.34694444444444444,0.31555555555555553,0.3561111111111111,0.35138888888888886,0.1663888888888889,0.1525,0.37305555555555553,0.26472222222222225,0.3427777777777778,0.35805555555555557,0.3125,0.3011111111111111,0.18805555555555556,0.2638888888888889,0.3047222222222222,0.3575,0.2922222222222222,0.09277777777777778,0.24638888888888888,0.31027777777777776,0.25722222222222224,0.4661111111111111,0.2725,0.4638888888888889,0.1525,0.2791666666666667,0.29444444444444445,0.24,0.20222222222222222,0.3325,0.39916666666666667,0.37305555555555553,0.28305555555555556,0.31444444444444447,0.2644444444444444,0.04777777777777778,0.3188888888888889,0.35805555555555557,0.2722222222222222,0.31194444444444447,0.3238888888888889,0.44666666666666666,0.30972222222222223,0.27416666666666667,0.2569444444444444,0.17944444444444443,0.27416666666666667,0.4175,0.33361111111111114,0.3775,0.3036111111111111,0.19416666666666665,0.3561111111111111,0.28305555555555556,0.3461111111111111,0.12611111111111112,0.25333333333333335,0.30777777777777776,0.2941666666666667,0.1613888888888889,0.3488888888888889,0.42138888888888887,0.4533333333333333,0.30777777777777776,0.23305555555555554,0.4816666666666667,0.36,0.35583333333333333,0.3475,0.2086111111111111,0.4,0.23194444444444445,0.31305555555555553,0.22083333333333333,0.2802777777777778,0.47444444444444445,0.26361111111111113
9,9,0.45444444444444443,0.1988888888888889,0.16805555555555557,0.3036111111111111,0.31305555555555553,0.2363888888888889,0.48527777777777775,0.2025,0.13833333333333334,0.25416666666666665,0.2575,0.20583333333333334,0.14444444444444443,0.26666666666666666,0.17833333333333334,0.17444444444444446,0.31666666666666665,0.30333333333333334,0.3894444444444444,0.4691666666666667,0.20916666666666667,0.18666666666666668,0.3586111111111111,0.37222222222222223,0.35888888888888887,0.31027777777777776,0.37666666666666665,0.2475,0.33444444444444443,0.3983333333333333,0.4013888888888889,0.3463888888888889,0.3863888888888889,0.3597222222222222,0.24,0.18583333333333332,0.2891666666666667,0.2713888888888889,0.3827777777777778,0.24555555555555555,0.305,0.20055555555555554,0.2658333333333333,0.4033333333333333,0.4913888888888889,0.22666666666666666,0.44472222222222224,0.16722222222222222,0.16416666666666666,0.14805555555555555,0.17666666666666667,0.40166666666666667,0.18611111111111112,0.42444444444444446,0.3983333333333333,0.23722222222222222,0.27555555555555555,0.2011111111111111,0.2375,0.1725,0.31222222222222223,0.16083333333333333,0.1738888888888889,0.30833333333333335,0.47194444444444444,0.17166666666666666,0.12777777777777777,0.26555555555555554,0.19416666666666665,0.22833333333333333,0.32055555555555554,0.35888888888888887,0.4027777777777778,0.1922222222222222,0.39361111111111113,0.3813888888888889,0.23722222222222222,0.3713888888888889,0.17222222222222222,0.14055555555555554,0.2658333333333333,0.14777777777777779,0.1761111111111111,0.37416666666666665,0.44666666666666666,0.4786111111111111,0.1613888888888889,0.3963888888888889,0.4625,0.3852777777777778,0.21777777777777776,0.3869444444444444,0.17916666666666667,0.42527777777777775,0.17777777777777778,0.20027777777777778,0.14277777777777778,0.1622222222222222,0.4286111111111111,0.2247222222222222
